Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,394.036,97.114,-372.693,272.373,107.974,-369.112,466.189,77.7393,-391.87,322.977,-1.87198,-319.463,533.99,-65.8128,-400.26,525.316,-123.152,-348.49
2,0,394.031,97.1436,-372.679,272.389,107.967,-369.124,466.188,77.681,-392.012,323.009,-1.85839,-319.475,534.011,-65.8092,-400.234,525.355,-123.14,-348.453
3,0,394.063,97.1168,-372.739,272.405,107.97,-369.147,466.282,77.8346,-391.734,323.046,-1.89012,-319.535,534.02,-65.8384,-400.287,525.374,-123.16,-348.483
4,0,394.042,97.1513,-372.704,272.396,107.976,-369.143,466.22,77.6802,-392.175,323.019,-1.87497,-319.508,534.028,-65.8516,-400.322,525.346,-123.138,-348.499
5,0,394.049,97.1048,-372.727,272.38,107.946,-369.169,466.212,77.7476,-391.831,323.024,-1.90514,-319.535,533.998,-65.831,-400.279,525.336,-123.133,-348.496
6,0,394.017,97.1186,-372.666,272.368,107.955,-369.118,466.219,77.7649,-391.803,322.964,-1.8896,-319.514,533.97,-65.8177,-400.267,525.317,-123.115,-348.485
7,0,394.037,97.1267,-372.671,272.362,107.978,-369.105,466.159,77.7035,-391.942,322.965,-1.90236,-319.5,533.98,-65.7996,-400.25,525.319,-123.122,-348.477
8,0,394.062,97.1125,-372.689,272.381,107.948,-369.124,466.224,77.7436,-391.941,323.005,-1.87224,-319.527,533.981,-65.8168,-400.259,525.303,-123.138,-348.486
9,0,394.082,97.0997,-372.724,272.399,107.967,-369.142,466.195,77.6864,-392.047,323.022,-1.8596,-319.512,534.03,-65.8145,-400.251,525.31,-123.156,-348.502
10,0,394.087,97.1335,-372.668,272.394,107.965,-369.126,466.31,77.7786,-391.975,323.018,-1.88341,-319.565,534.022,-65.8312,-400.307,525.333,-123.14,-348.488
11,0,394.063,97.1078,-372.69,272.384,107.952,-369.154,466.211,77.7156,-391.934,322.993,-1.89047,-319.578,534.011,-65.8138,-400.275,525.335,-123.175,-348.526
12,0,394.057,97.1401,-372.629,272.369,107.97,-369.123,466.217,77.7201,-391.987,322.966,-1.85564,-319.52,533.982,-65.7926,-400.273,525.296,-123.148,-348.515
13,0,394.055,97.1265,-372.632,272.335,107.965,-369.094,466.143,77.6818,-392.093,322.957,-1.87306,-319.545,533.96,-65.7866,-400.235,525.263,-123.137,-348.499
14,0,394.096,97.0969,-372.622,272.354,107.973,-369.103,466.214,77.7468,-391.887,323.019,-1.85455,-319.506,534,-65.793,-400.223,525.309,-123.144,-348.501
15,0,394.105,97.1208,-372.616,272.387,107.986,-369.131,466.251,77.742,-392.023,323.028,-1.86582,-319.528,534.028,-65.8006,-400.223,525.331,-123.152,-348.504
16,0,394.141,97.1326,-372.645,272.379,107.963,-369.165,466.196,77.6947,-392.122,323.059,-1.8443,-319.523,534.032,-65.8341,-400.267,525.351,-123.153,-348.487
17,0,394.109,97.0965,-372.656,272.379,107.951,-369.151,466.202,77.7535,-391.86,323.044,-1.87006,-319.566,534.054,-65.8115,-400.265,525.341,-123.194,-348.54
18,0,394.108,97.1085,-372.608,272.357,107.944,-369.159,466.235,77.7673,-391.848,322.992,-1.87062,-319.538,534.015,-65.8203,-400.229,525.295,-123.179,-348.472
19,0,394.067,97.1167,-372.601,272.346,107.976,-369.082,466.147,77.7001,-391.98,322.987,-1.87031,-319.527,534,-65.8255,-400.191,525.309,-123.174,-348.471
20,0,394.105,97.1303,-372.6,272.355,107.974,-369.114,466.2,77.7963,-391.796,323.003,-1.86446,-319.512,533.999,-65.7892,-400.203,525.284,-123.149,-348.49
21,0,394.085,97.1504,-372.635,272.388,107.988,-369.126,466.131,77.6872,-392.214,323.026,-1.84197,-319.516,534.017,-65.8038,-400.201,525.322,-123.161,-348.477
22,0,394.134,97.1252,-372.622,272.389,107.958,-369.168,466.214,77.7471,-392.005,323.056,-1.83735,-319.5,534.041,-65.8668,-400.223,525.319,-123.208,-348.475
23,0,394.102,97.1078,-372.656,272.381,107.968,-369.136,466.142,77.6861,-392.01,323.042,-1.83443,-319.506,534.024,-65.8321,-400.213,525.31,-123.203,-348.465
24,0,394.089,97.0967,-372.636,272.37,107.943,-369.13,466.231,77.7002,-391.893,322.994,-1.88027,-319.558,534.015,-65.8379,-400.193,525.291,-123.175,-348.442
25,0,394.065,97.1035,-372.605,272.363,107.968,-369.105,466.142,77.6819,-391.975,322.98,-1.86319,-319.536,534,-65.8455,-400.208,525.281,-123.192,-348.434
26,0,394.075,97.1521,-372.572,272.349,107.951,-369.093,466.18,77.7464,-391.813,322.976,-1.86403,-319.527,533.976,-65.8142,-400.172,525.292,-123.203,-348.464
27,0,394.093,97.1631,-372.564,272.375,107.976,-369.14,466.153,77.7028,-392.077,323.005,-1.82618,-319.48,534.006,-65.8114,-400.184,525.29,-123.171,-348.39
28,0,394.117,97.1334,-372.658,272.381,107.969,-369.131,466.219,77.7854,-391.799,323.025,-1.84029,-319.517,534.021,-65.851,-400.205,525.317,-123.202,-348.477
29,0,394.114,97.1287,-372.607,272.379,107.967,-369.137,466.173,77.6878,-392.04,323.037,-1.84662,-319.523,534.011,-65.8709,-400.21,525.286,-123.229,-348.46
30,0,394.109,97.1384,-372.63,272.381,107.955,-369.117,466.17,77.663,-392.037,322.983,-1.87452,-319.554,533.991,-65.8471,-400.161,525.282,-123.173,-348.432
31,0,394.071,97.1314,-372.586,272.364,107.967,-369.104,466.208,77.6838,-392.018,322.988,-1.83184,-319.498,533.993,-65.8238,-400.178,525.271,-123.188,-348.435
32,0,394.07,97.1149,-372.602,272.369,107.973,-369.088,466.188,77.7009,-391.954,322.979,-1.85778,-319.502,533.979,-65.8564,-400.146,525.273,-123.178,-348.394
33,0,394.079,97.1383,-372.617,272.371,107.96,-369.114,466.198,77.7156,-392.034,323.002,-1.83239,-319.51,533.992,-65.8478,-400.178,525.289,-123.173,-348.396
34,0,394.114,97.1357,-372.606,272.38,107.95,-369.15,466.206,77.7222,-391.952,323.046,-1.82087,-319.486,534.024,-65.8246,-400.18,525.318,-123.185,-348.442
35,0,394.1,97.1067,-372.688,272.382,107.95,-369.149,466.191,77.7366,-391.906,323.045,-1.83347,-319.509,534.042,-65.8441,-400.213,525.302,-123.216,-348.474
36,0,394.088,97.1104,-372.641,272.381,107.95,-369.151,466.205,77.7509,-391.94,322.992,-1.88104,-319.557,534.012,-65.849,-400.198,525.311,-123.233,-348.456
37,0,394.076,97.1039,-372.589,272.349,107.955,-369.105,466.141,77.6414,-392.154,322.99,-1.85027,-319.513,534.01,-65.8387,-400.18,525.29,-123.17,-348.406
38,0,394.06,97.1306,-372.592,272.343,107.966,-369.08,466.162,77.7318,-391.946,322.977,-1.86421,-319.526,533.987,-65.8351,-400.224,525.273,-123.182,-348.424
39,0,394.097,97.1698,-372.557,272.38,107.981,-369.107,466.207,77.7585,-391.861,322.987,-1.80577,-319.453,534.016,-65.8191,-400.161,525.286,-123.141,-348.388
40,0,394.108,97.1527,-372.631,272.367,107.999,-369.181,466.175,77.691,-392.098,323.019,-1.81789,-319.518,534.001,-65.8222,-400.186,525.33,-123.184,-348.482
41,0,394.117,97.1614,-372.67,272.362,107.999,-369.162,466.179,77.7416,-391.94,323.016,-1.79499,-319.463,534.033,-65.828,-400.234,525.336,-123.173,-348.482
42,0,394.092,97.1534,-372.637,272.322,108.031,-369.107,466.111,77.6537,-392.11,323.037,-1.77,-319.435,534.015,-65.8054,-400.204,525.323,-123.145,-348.401
43,0,394.078,97.1252,-372.621,272.314,108.012,-369.119,466.217,77.7373,-391.861,323.036,-1.78401,-319.422,534.006,-65.7998,-400.207,525.323,-123.177,-348.495
44,0,394.094,97.1616,-372.591,272.324,108.01,-369.14,466.152,77.7273,-391.943,323.05,-1.79402,-319.432,534.025,-65.7766,-400.208,525.308,-123.14,-348.475
