Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,394.408,94.3551,-372.631,272.394,104.131,-369.111,466.925,76.7809,-394.377,325.403,-6.9216,-322.089,534.526,-65.2426,-408.875,515.436,-116.398,-356.845
36,0,394.394,94.342,-372.661,272.394,104.13,-369.114,466.912,76.7841,-394.385,325.383,-6.92252,-322.073,534.494,-65.2624,-408.911,515.425,-116.36,-356.86
37,0,394.381,94.3783,-372.613,272.386,104.124,-369.092,466.866,76.83,-394.29,325.334,-6.98061,-322.167,534.491,-65.224,-408.858,515.4,-116.373,-356.803
38,0,394.365,94.3655,-372.607,272.366,104.122,-369.077,466.879,76.7733,-394.401,325.309,-6.99932,-322.158,534.449,-65.2572,-408.905,515.403,-116.367,-356.803
39,0,394.358,94.3632,-372.574,272.372,104.097,-369.088,466.902,76.8159,-394.373,325.302,-7.01229,-322.197,534.466,-65.2435,-408.843,515.374,-116.375,-356.821
40,0,394.415,94.3575,-372.591,272.387,104.063,-369.105,466.905,76.8171,-394.305,325.318,-7.02915,-322.189,534.497,-65.2657,-408.847,515.403,-116.38,-356.821
41,0,394.415,94.3445,-372.655,272.387,104.079,-369.117,466.849,76.8139,-394.213,325.345,-7.01972,-322.177,534.482,-65.2785,-408.922,515.403,-116.349,-356.819
42,0,394.423,94.3422,-372.645,272.4,104.09,-369.11,466.913,76.7834,-394.383,325.345,-6.9919,-322.154,534.5,-65.2357,-408.857,515.4,-116.38,-356.835
43,0,394.394,94.3319,-372.651,272.398,104.074,-369.122,466.841,76.7944,-394.333,325.324,-7.03177,-322.192,534.502,-65.2729,-408.88,515.42,-116.395,-356.869
44,0,394.376,94.3295,-372.589,272.378,104.075,-369.128,466.845,76.846,-394.253,325.278,-7.07463,-322.214,534.462,-65.2538,-408.879,515.37,-116.379,-356.809
45,0,394.366,94.3811,-372.562,272.37,104.079,-369.104,466.913,76.8139,-394.336,325.29,-7.03823,-322.184,534.462,-65.2418,-408.869,515.366,-116.35,-356.83
46,0,394.38,94.3328,-372.643,272.377,104.052,-369.113,466.839,76.7967,-394.341,325.308,-7.06101,-322.223,534.47,-65.2473,-408.862,515.371,-116.396,-356.833
47,0,394.408,94.3449,-372.637,272.387,104.063,-369.105,466.921,76.7589,-394.373,325.319,-7.08094,-322.254,534.488,-65.2794,-408.918,515.413,-116.39,-356.84
48,0,394.395,94.2985,-372.671,272.389,104.079,-369.122,466.891,76.7705,-394.39,325.345,-7.05127,-322.203,534.49,-65.2521,-408.915,515.432,-116.391,-356.851
49,0,394.385,94.3448,-372.636,272.387,104.079,-369.118,466.911,76.7839,-394.375,325.311,-7.03133,-322.232,534.481,-65.2569,-408.892,515.387,-116.351,-356.827
50,0,394.383,94.3262,-372.629,272.364,104.062,-369.121,466.884,76.7719,-394.351,325.297,-7.05833,-322.262,534.484,-65.2374,-408.87,515.366,-116.373,-356.819
51,0,394.386,94.3902,-372.545,272.372,104.079,-369.107,466.896,76.8202,-394.339,325.298,-7.05088,-322.201,534.503,-65.2394,-408.865,515.373,-116.37,-356.843
52,0,394.397,94.3323,-372.585,272.38,104.071,-369.108,466.87,76.8057,-394.356,325.313,-7.05282,-322.167,534.493,-65.2346,-408.862,515.386,-116.357,-356.829
53,0,394.412,94.3314,-372.636,272.405,104.042,-369.15,466.86,76.7938,-394.268,325.358,-7.0266,-322.166,534.507,-65.2988,-408.89,515.397,-116.398,-356.89
54,0,394.423,94.3267,-372.673,272.392,104.023,-369.164,466.886,76.7738,-394.306,325.345,-7.0678,-322.253,534.526,-65.307,-408.914,515.428,-116.405,-356.881
55,0,394.405,94.3528,-372.631,272.392,104.061,-369.167,466.905,76.7633,-394.369,325.324,-7.04715,-322.212,534.481,-65.2559,-408.889,515.406,-116.38,-356.882
56,0,394.387,94.3543,-372.621,272.38,104.072,-369.103,466.84,76.7956,-394.343,325.312,-7.09142,-322.275,534.481,-65.2581,-408.88,515.394,-116.388,-356.866
57,0,394.361,94.3596,-372.578,272.376,104.065,-369.12,466.874,76.8047,-394.376,325.288,-7.0588,-322.177,534.49,-65.2554,-408.849,515.379,-116.363,-356.798
58,0,394.367,94.3242,-372.632,272.391,104.025,-369.154,466.892,76.8195,-394.309,325.32,-7.05365,-322.193,534.492,-65.259,-408.875,515.351,-116.381,-356.823
59,0,394.412,94.3609,-372.627,272.376,104.067,-369.133,466.9,76.7654,-394.347,325.334,-7.04877,-322.22,534.487,-65.2626,-408.896,515.395,-116.38,-356.817
60,0,394.421,94.3205,-372.667,272.411,104.041,-369.135,466.833,76.777,-394.339,325.343,-7.06238,-322.242,534.513,-65.2871,-408.901,515.4,-116.382,-356.852
61,0,394.396,94.338,-372.651,272.382,104.028,-369.163,466.889,76.7493,-394.297,325.345,-7.05664,-322.205,534.482,-65.2572,-408.909,515.402,-116.408,-356.885
62,0,394.411,94.3277,-372.637,272.385,104.063,-369.131,466.897,76.8187,-394.363,325.316,-7.05606,-322.242,534.501,-65.2741,-408.881,515.376,-116.394,-356.846
63,0,394.362,94.345,-372.624,272.366,104.06,-369.109,466.892,76.768,-394.399,325.295,-7.0579,-322.223,534.48,-65.2683,-408.901,515.373,-116.379,-356.845
64,0,394.387,94.3342,-372.586,272.366,104.064,-369.084,466.855,76.8367,-394.307,325.296,-7.07478,-322.226,534.481,-65.2546,-408.849,515.366,-116.368,-356.789
65,0,394.403,94.356,-372.603,272.387,104.064,-369.1,466.858,76.7884,-394.277,325.31,-7.05669,-322.228,534.468,-65.2692,-408.907,515.408,-116.377,-356.815
66,0,394.423,94.3508,-372.651,272.387,104.047,-369.156,466.877,76.7515,-394.33,325.345,-7.06197,-322.217,534.497,-65.2526,-408.874,515.405,-116.39,-356.853
67,0,394.401,94.3117,-372.658,272.392,104.034,-369.144,466.882,76.7731,-394.315,325.35,-7.04028,-322.194,534.506,-65.2858,-408.907,515.392,-116.403,-356.862
68,0,394.378,94.3214,-372.652,272.37,104.015,-369.175,466.821,76.8058,-394.262,325.306,-7.08096,-322.237,534.475,-65.2935,-408.912,515.393,-116.422,-356.897
69,0,394.379,94.3199,-372.6,272.356,104.037,-369.113,466.91,76.8145,-394.321,325.295,-7.0569,-322.226,534.473,-65.2434,-408.868,515.369,-116.375,-356.821
70,0,394.383,94.3492,-372.611,272.375,104.085,-369.073,466.927,76.7798,-394.379,325.309,-7.05501,-322.193,534.481,-65.2353,-408.849,515.375,-116.361,-356.845
71,0,394.388,94.3308,-372.627,272.4,104.059,-369.122,466.899,76.7944,-394.256,325.324,-7.04571,-322.18,534.494,-65.247,-408.889,515.387,-116.369,-356.804
72,0,394.411,94.3489,-372.646,272.395,104.053,-369.137,466.915,76.761,-394.352,325.329,-7.05901,-322.246,534.484,-65.2825,-408.907,515.385,-116.347,-356.802
73,0,394.414,94.3231,-372.642,272.394,104.023,-369.166,466.914,76.7839,-394.396,325.317,-7.07238,-322.229,534.479,-65.2804,-408.906,515.407,-116.406,-356.877
74,0,394.384,94.3053,-372.635,272.386,104.051,-369.121,466.835,76.7985,-394.293,325.301,-7.05434,-322.248,534.483,-65.2614,-408.915,515.378,-116.367,-356.861
75,0,394.376,94.3374,-372.608,272.389,104.067,-369.116,466.873,76.8024,-394.317,325.307,-7.06497,-322.251,534.486,-65.254,-408.865,515.394,-116.394,-356.896
