Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,394.858,96.6302,-372.854,272.942,107.798,-369.087,467.309,76.9108,-392.54,325.62,-3.10043,-320.799,534.834,-74.8332,-407.223,519.51,-128.521,-354.989
2,0,394.849,96.6359,-372.89,272.942,107.798,-369.087,466.415,75.7189,-394.714,325.634,-3.07037,-320.773,534.838,-74.8338,-407.239,519.527,-128.539,-355.026
3,0,394.835,96.6377,-372.9,272.952,107.806,-369.108,467.07,76.5909,-393.134,325.649,-3.0428,-320.747,534.849,-74.8272,-407.26,519.51,-128.516,-355.045
4,0,394.85,96.6398,-372.886,272.948,107.81,-369.102,467.422,77.0162,-392.361,325.657,-3.07322,-320.803,534.849,-74.807,-407.25,519.536,-128.554,-355.053
5,0,394.847,96.6274,-372.871,272.962,107.8,-369.112,467.358,76.9618,-392.508,325.653,-3.07306,-320.788,534.849,-74.807,-407.25,519.508,-128.518,-355.018
6,0,394.857,96.6433,-372.888,272.962,107.804,-369.079,466.449,75.7715,-394.562,325.629,-3.09258,-320.82,534.843,-74.7793,-407.239,519.523,-128.51,-355.04
7,0,394.857,96.6103,-372.872,272.938,107.797,-369.086,467.378,77.0023,-392.464,325.613,-3.05566,-320.775,534.832,-74.784,-407.217,519.499,-128.519,-355.05
8,0,394.864,96.6201,-372.828,272.945,107.79,-369.088,466.531,75.8864,-394.472,325.616,-3.09127,-320.767,534.834,-74.803,-407.225,519.503,-128.507,-355.011
9,0,394.863,96.6322,-372.841,272.932,107.791,-369.115,467.149,76.7338,-392.892,325.65,-3.08741,-320.812,534.836,-74.7915,-407.29,519.513,-128.516,-355.056
10,0,394.902,96.6302,-372.876,272.946,107.821,-369.11,467.327,76.9748,-392.486,325.661,-3.04891,-320.748,534.859,-74.808,-407.294,519.527,-128.495,-355.065
11,0,394.897,96.6173,-372.876,272.943,107.819,-369.112,466.523,75.9223,-394.356,325.637,-3.06082,-320.79,534.845,-74.8013,-407.275,519.512,-128.528,-355.104
12,0,394.867,96.6063,-372.853,272.894,107.832,-369.091,467.114,76.7268,-392.917,325.644,-3.06585,-320.79,534.819,-74.7962,-407.295,519.489,-128.537,-355.124
13,0,394.864,96.6484,-372.79,272.904,107.844,-369.039,467.269,77.0074,-392.359,325.622,-3.06733,-320.761,534.837,-74.7779,-407.324,519.485,-128.483,-355.07
14,0,394.888,96.6211,-372.828,272.891,107.836,-369.056,466.497,75.9183,-394.457,325.616,-3.03945,-320.76,534.81,-74.775,-407.28,519.491,-128.505,-355.086
15,0,394.892,96.6134,-372.816,272.899,107.843,-369.074,466.596,76.0048,-394.039,325.632,-3.04586,-320.715,534.844,-74.7865,-407.3,519.518,-128.52,-355.093
16,0,394.94,96.6263,-372.858,272.932,107.841,-369.134,467.272,76.9534,-392.46,325.68,-3.02157,-320.735,534.855,-74.7634,-407.295,519.536,-128.499,-355.114
17,0,394.917,96.6225,-372.89,272.917,107.868,-369.104,466.511,75.901,-394.284,325.668,-3.01736,-320.722,534.847,-74.7719,-407.321,519.515,-128.497,-355.094
18,0,394.914,96.6187,-372.861,272.905,107.86,-369.141,467.237,76.9022,-392.58,325.647,-3.00677,-320.679,534.838,-74.7683,-407.319,519.5,-128.519,-355.117
19,0,394.903,96.6508,-372.806,272.88,107.879,-369.083,467.247,76.9655,-392.534,325.639,-2.99429,-320.683,534.817,-74.7469,-407.292,519.47,-128.487,-355.089
20,0,394.888,96.645,-372.828,272.872,107.903,-369.059,467.092,76.7648,-392.779,325.64,-2.97691,-320.675,534.824,-74.7445,-407.316,519.486,-128.481,-355.081
21,0,394.931,96.6517,-372.81,272.89,107.874,-369.087,466.531,75.9641,-394.348,325.67,-2.95222,-320.617,534.832,-74.7775,-407.303,519.521,-128.526,-355.097
22,0,394.938,96.6581,-372.842,272.914,107.911,-369.102,467.024,76.605,-393.1,325.74,-2.96123,-320.646,534.864,-74.7622,-407.268,519.549,-128.531,-355.109
23,0,394.945,96.6906,-372.832,272.899,107.913,-369.109,467.058,76.6328,-393.099,325.718,-2.90293,-320.564,534.885,-74.7535,-407.282,519.533,-128.545,-355.107
24,0,394.938,96.6558,-372.846,272.894,107.942,-369.07,466.625,76.0567,-394.286,325.705,-2.9155,-320.575,534.856,-74.7827,-407.314,519.535,-128.518,-355.075
25,0,394.895,96.6901,-372.792,272.884,107.935,-369.047,467.284,77.0119,-392.492,325.693,-2.9293,-320.582,534.836,-74.7427,-407.273,519.527,-128.534,-355.091
26,0,394.911,96.6852,-372.783,272.885,107.934,-369.049,467.282,76.9963,-392.553,325.708,-2.91473,-320.583,534.827,-74.7339,-407.266,519.513,-128.543,-355.095
27,0,394.91,96.6948,-372.795,272.904,107.921,-369.106,467.269,76.9861,-392.533,325.701,-2.88893,-320.569,534.843,-74.74,-407.245,519.519,-128.488,-355.057
28,0,394.915,96.7088,-372.787,272.896,107.941,-369.069,467.257,77.0027,-392.425,325.73,-2.9064,-320.535,534.86,-74.7616,-407.251,519.53,-128.537,-355.067
29,0,394.961,96.6891,-372.823,272.928,107.903,-369.107,466.547,75.9858,-394.275,325.723,-2.90488,-320.607,534.868,-74.7637,-407.27,519.579,-128.509,-355.04
30,0,394.92,96.6824,-372.853,272.925,107.903,-369.103,467.233,76.9363,-392.55,325.723,-2.89973,-320.571,534.886,-74.7514,-407.281,519.549,-128.528,-355.054
31,0,394.928,96.6435,-372.839,272.911,107.899,-369.058,467.267,76.9143,-392.715,325.683,-2.95934,-320.655,534.854,-74.7746,-407.281,519.549,-128.522,-355.091
32,0,394.908,96.6463,-372.79,272.918,107.873,-369.091,466.539,76.003,-394.259,325.639,-2.99433,-320.684,534.837,-74.7361,-407.241,519.525,-128.535,-355.105
33,0,394.887,96.6545,-372.813,272.888,107.873,-369.086,467.096,76.8064,-392.724,325.623,-3.02001,-320.768,534.848,-74.7483,-407.295,519.532,-128.475,-355.066
34,0,394.893,96.6399,-372.832,272.932,107.864,-369.08,466.533,75.9441,-394.553,325.64,-2.99451,-320.722,534.855,-74.7558,-407.27,519.544,-128.489,-355.091
35,0,394.888,96.6608,-372.864,272.943,107.854,-369.07,467.037,76.6464,-393.081,325.662,-3.03638,-320.713,534.874,-74.774,-407.321,519.56,-128.516,-355.088
36,0,394.928,96.634,-372.845,272.932,107.811,-369.127,467.266,76.9511,-392.532,325.658,-3.02664,-320.733,534.845,-74.7569,-407.299,519.538,-128.488,-355.088
37,0,394.919,96.6191,-372.808,272.933,107.841,-369.1,467.25,76.988,-392.467,325.644,-3.05681,-320.761,534.867,-74.7793,-407.309,519.539,-128.509,-355.117
38,0,394.88,96.617,-372.828,272.931,107.812,-369.087,467.24,76.902,-392.592,325.665,-3.04206,-320.707,534.846,-74.806,-407.337,519.531,-128.535,-355.106
39,0,394.906,96.6451,-372.766,272.92,107.82,-369.088,467.256,76.9163,-392.594,325.642,-3.05591,-320.761,534.849,-74.7472,-407.294,519.525,-128.486,-355.125
40,0,394.916,96.6313,-372.835,272.933,107.846,-369.051,466.621,76.0578,-394.316,325.648,-3.03693,-320.75,534.821,-74.7488,-407.291,519.548,-128.514,-355.115
41,0,394.897,96.6263,-372.836,272.935,107.799,-369.1,467.317,76.9599,-392.542,325.648,-3.04362,-320.782,534.854,-74.7769,-407.346,519.525,-128.498,-355.12
42,0,394.885,96.6013,-372.851,272.94,107.773,-369.114,466.542,75.9608,-394.211,325.664,-3.07457,-320.796,534.86,-74.7796,-407.366,519.541,-128.532,-355.191
43,0,394.926,96.6,-372.865,272.945,107.793,-369.107,467.268,76.9439,-392.495,325.611,-3.07886,-320.833,534.841,-74.7723,-407.395,519.529,-128.528,-355.225
44,0,394.891,96.6114,-372.84,272.935,107.785,-369.087,467.274,76.956,-392.531,325.608,-3.08963,-320.793,534.827,-74.7344,-407.397,519.513,-128.496,-355.204
45,0,394.893,96.6081,-372.791,272.924,107.79,-369.085,466.969,76.5968,-393.164,325.623,-3.09596,-320.814,534.858,-74.7473,-407.395,519.524,-128.523,-355.215
46,0,394.907,96.6166,-372.822,272.948,107.797,-369.076,467.286,76.9444,-392.519,325.631,-3.08171,-320.785,534.841,-74.7221,-407.384,519.536,-128.493,-355.237
47,0,394.912,96.6047,-372.834,272.943,107.793,-369.104,466.523,75.8963,-394.468,325.624,-3.06346,-320.81,534.863,-74.7661,-407.39,519.532,-128.496,-355.22
48,0,394.891,96.6159,-372.844,272.937,107.798,-369.105,467.266,76.9376,-392.533,325.645,-3.05702,-320.803,534.852,-74.7575,-407.385,519.528,-128.497,-355.16
49,0,394.89,96.6306,-372.847,272.915,107.785,-369.095,466.533,75.9302,-394.28,325.623,-3.06631,-320.809,534.861,-74.7673,-407.392,519.519,-128.504,-355.201
50,0,394.91,96.6109,-372.842,272.925,107.791,-369.081,466.567,76.0131,-394.168,325.633,-3.08755,-320.793,534.855,-74.7689,-407.365,519.525,-128.511,-355.176
51,0,394.908,96.603,-372.836,272.934,107.785,-369.087,467.015,76.5857,-393.259,325.646,-3.06839,-320.745,534.852,-74.7686,-407.367,519.531,-128.513,-355.172
52,0,394.881,96.6133,-372.836,272.926,107.791,-369.083,466.523,75.8586,-394.534,325.641,-3.07586,-320.763,534.874,-74.783,-407.387,519.533,-128.516,-355.166
53,0,394.914,96.6418,-372.833,272.937,107.799,-369.115,467.282,76.9725,-392.6,325.683,-3.09733,-320.791,534.904,-74.7509,-407.38,519.549,-128.487,-355.172
54,0,394.904,96.635,-372.837,272.945,107.792,-369.109,467.04,76.6351,-393.027,325.657,-3.09954,-320.83,534.865,-74.7436,-407.37,519.547,-128.524,-355.205
55,0,394.931,96.5722,-372.869,272.955,107.772,-369.087,466.505,75.8464,-394.456,325.63,-3.12095,-320.818,534.875,-74.7654,-407.406,519.519,-128.488,-355.156
56,0,394.908,96.6198,-372.786,272.915,107.779,-369.095,466.941,76.4992,-393.348,325.604,-3.11401,-320.848,534.865,-74.7504,-407.379,519.522,-128.517,-355.193
57,0,394.898,96.6037,-372.802,272.921,107.815,-369.072,467.008,76.5714,-393.149,325.634,-3.10162,-320.853,534.861,-74.7734,-407.39,519.527,-128.512,-355.165
58,0,394.911,96.6297,-372.817,272.937,107.784,-369.09,467.294,76.9216,-392.63,325.629,-3.09354,-320.818,534.859,-74.7756,-407.346,519.542,-128.504,-355.17
