Trajectories
100
,,2-19-16:hip_center,,,2-19-16:hip_top,,,2-19-16:hip_bottom,,,2-19-16:knee,,,2-19-16:heel,,,2-19-16:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,495.747,299.293,-54.3383,382.825,349.664,-59.8263,586.026,273.86,-93.7691,499.706,168.868,-58.8945,658.754,158.16,-83.861,654.523,63.966,-71.1368
2,0,481.67,299.871,-55.768,368.146,349.486,-56.9328,570.106,275.588,-97.7029,489.591,170.246,-59.0036,655.534,158.773,-83.734,657.079,63.4095,-70.5115
3,0,468.437,301.304,-57.4618,354.11,349.749,-54.9451,554.642,277.23,-102.255,479.905,173.026,-58.6257,653.222,156.781,-86.3111,661.061,62.1564,-69.8058
4,0,455.431,303.769,-59.5929,340.729,350.762,-55.3214,540.056,278.925,-106.021,470.702,176.821,-58.3357,649.85,157.602,-85.3991,664.086,61.9056,-69.1122
5,0,442.515,306.597,-61.8174,327.904,352.58,-58.1408,525.807,280.927,-109.667,461.643,181.399,-58.0812,645.353,158.507,-83.9921,665.838,62.6546,-67.3823
6,0,429.402,311.2,-72.2636,315.226,354.806,-64.3179,512.141,284.331,-119.2,452.137,185.605,-58.6064,637.05,158.746,-78.4534,665.955,63.7658,-64.8955
7,0,415.92,316.626,-88.8764,302.998,357.771,-72.8873,498.95,284.954,-124.529,441.037,188.961,-59.6301,628.363,159.296,-77.6106,665.096,65.7372,-62.7742
8,0,404.211,319.701,-97.2447,291.556,363.251,-81.0409,486.28,284.295,-129.143,426.957,190.513,-61.1404,611.429,158.766,-75.4979,661.567,69.021,-62.125
9,0,393.768,322.112,-101.664,280.455,370.083,-88.59,473.902,285.559,-139.772,407.981,190.29,-62.3784,585.232,159.579,-73.5156,651.071,74.3216,-62.5256
10,0,381.129,323.434,-103.97,268.701,374.306,-94.0776,462.601,284.554,-139.023,384.767,189.434,-63.1631,553.389,164.367,-76.6454,631.754,83.7124,-68.3701
11,0,366.477,323.755,-103.863,255.654,376.715,-97.6184,450.532,282.82,-134.901,360.876,190.037,-63.3074,520.553,172.032,-85.8552,599.635,90.1067,-73.1861
12,0,352.242,324.464,-103.178,242.493,378.137,-99.0956,437.537,282.033,-131.39,339.377,192.982,-63.3461,488.259,180.684,-95.6328,554.45,89.8156,-77.2136
13,0,338.818,325.535,-102.543,230.789,380.935,-105.038,424.817,282.704,-131.95,320.463,197.045,-62.4791,459.052,190.999,-100.813,502.181,86.7186,-80.185
14,0,326.368,327.319,-102.454,219.284,382.23,-105.21,412.088,285.163,-135.877,304.127,201.091,-60.7119,434.188,199.651,-99.608,456.047,89.2862,-75.7409
15,0,314.248,329.454,-102.762,208.343,384.584,-105.481,399.76,287.622,-138.324,290.405,204.753,-58.9072,414.327,205.597,-95.0677,415.606,96.728,-65.3212
16,0,302.762,332.088,-103.331,197.504,387.276,-105.205,387.284,289.264,-139.19,277.585,208.618,-57.7183,396.679,207.205,-89.7011,377.354,102.481,-56.3777
17,0,292.256,335.266,-103.325,186.548,390.383,-104.873,375.331,289.009,-138.938,263.877,212.483,-57.2106,379.092,202.282,-86.9219,340.345,104.878,-50.8046
18,0,281.477,338.523,-102.528,175.399,393.283,-104.798,363.846,287.608,-137.132,249.271,214.986,-57.3004,359.56,190.262,-87.4572,301.23,104.198,-50.6813
19,0,270.116,341.496,-100.646,162.919,395.67,-104.43,351.702,286.676,-134.264,233.788,215.678,-57.8454,334.378,171.527,-91.1054,257.673,103.601,-53.1391
20,0,257.703,343.449,-98.1655,149.361,396.963,-103.592,338.28,285.62,-129.58,217.019,215.278,-58.8515,300.372,148.1,-95.9039,211.182,103.319,-55.0665
21,0,244.408,344.399,-94.8905,135.162,397.777,-102.409,323.91,282.978,-120.31,198.639,214.877,-61.1622,258.551,124.677,-100.12,164.614,101.558,-55.3745
22,0,230.369,344.539,-90.9874,121.223,399.068,-100.946,308.282,280.639,-115.228,178.918,215.103,-63.6532,214.529,105.995,-101.277,120.596,97.648,-54.6487
23,0,216.345,343.154,-85.9792,107.845,399.446,-98.2492,293.117,275.963,-106.117,158.663,214.531,-63.0437,174.738,93.8547,-100.534,81.0675,90.4096,-54.2662
24,0,202.551,340.563,-80.561,95.4585,398.745,-94.4576,278.968,272.413,-102.418,139.839,211.651,-60.1196,143.892,85.5092,-100.569,48.9424,77.5573,-56.4048
25,0,189.233,336.264,-74.9054,83.836,396.149,-89.8575,266.572,268.599,-99.4043,124.495,206.599,-57.3277,122.194,78.1319,-102.668,25.535,60.0558,-63.1056
26,0,176.95,329.857,-68.6032,72.9297,391.029,-82.9923,255.643,263.95,-96.8132,112.44,199.602,-56.0271,107.741,70.5216,-107.63,12.9438,46.183,-72.7585
27,0,168.112,318.822,-51.7888,63.306,383.621,-72.5686,246.413,258.258,-95.2169,103.396,190.33,-56.7646,103.379,61.4174,-115.931,10.6937,49.4571,-84.12
28,0,159.666,309.355,-43.5936,55.2588,376.688,-65.3302,239.102,252.979,-94.5751,99.7887,180.051,-58.2788,109.87,57.5552,-122.487,20.3586,46.4268,-83.9408
29,0,155.171,304.549,-41.0301,49.16,370.063,-58.345,233.765,248.915,-94.8363,97.8512,175.157,-59.1299,112.494,58.6003,-122.519,22.9812,47.2779,-84.5041
30,0,152.033,302.224,-39.6733,45.3306,366.753,-52.0662,229.307,247.808,-94.35,94.338,174.926,-57.326,115.168,60.3537,-121.371,26.269,47.3309,-84.3818
31,0,148.197,302.751,-37.018,41.8006,366.224,-45.8085,224.873,249.669,-92.1439,90.6269,175.554,-54.5039,118.224,62.4494,-119.965,30.0843,47.2051,-84.3753
32,0,144.214,303.598,-34.2003,38.0565,366.696,-40.3059,220.519,251.465,-90.1261,88.3276,176.115,-52.1907,121.339,64.6227,-118.521,34.1141,47.1398,-84.2781
33,0,140.574,303.573,-31.866,34.5479,366.926,-35.0171,216.127,251.584,-88.8484,86.3334,175.609,-49.8215,124.087,66.8906,-117.562,37.8174,47.0609,-84.3444
34,0,136.977,302.631,-29.5533,31.172,366.045,-29.7832,211.564,250.287,-87.9816,83.8015,174.516,-47.543,126.453,69.3772,-116.903,41.273,47.1311,-84.4776
35,0,132.9,300.99,-27.4806,27.6258,364.783,-25.233,206.794,248.618,-87.4311,80.9684,173.079,-45.2741,129.562,73.0558,-115.979,45.6885,47.4085,-84.6806
36,0,128.358,299.475,-25.5204,23.5827,362.917,-20.6109,201.74,247.835,-86.7824,78.0796,171.85,-43.3657,132.084,76.9467,-114.761,49.5344,47.9186,-84.5851
