Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,396.567,94.137,-373.059,273.701,108.327,-369.232,468.918,73.9595,-394.482,331.005,-5.9182,-325.616,534.789,-136.17,-412.673,564.065,-221.747,-404.213
2,0,396.596,94.0842,-373.129,273.701,108.327,-369.232,468.927,73.9646,-394.486,330.915,-5.96344,-325.551,534.831,-136.156,-412.662,564.066,-221.791,-404.253
3,0,396.594,94.1477,-373.09,273.688,108.315,-369.282,468.931,73.9756,-394.471,330.861,-6.02991,-325.68,534.821,-136.139,-412.684,564.083,-221.789,-404.26
4,0,396.599,94.1346,-373.15,273.701,108.346,-369.263,468.928,73.9821,-394.498,330.909,-5.99685,-325.625,534.822,-136.118,-412.648,564.063,-221.729,-404.167
5,0,396.588,94.1116,-373.122,273.718,108.33,-369.254,468.926,73.989,-394.505,330.997,-5.91712,-325.485,534.834,-136.182,-412.657,564.109,-221.748,-404.142
6,0,396.573,94.1563,-373.079,273.709,108.336,-369.26,468.925,73.9681,-394.496,331.002,-5.95547,-325.652,534.818,-136.124,-412.563,564.074,-221.741,-404.083
7,0,396.574,94.1571,-373.045,273.718,108.318,-369.258,468.92,73.9971,-394.52,330.964,-5.96387,-325.675,534.838,-136.124,-412.553,564.105,-221.732,-404.094
8,0,396.606,94.118,-373.061,273.723,108.294,-369.27,468.92,73.9766,-394.529,330.957,-5.99193,-325.624,534.853,-136.116,-412.587,564.124,-221.721,-404.101
9,0,396.638,94.1217,-373.084,273.735,108.316,-369.248,468.924,73.9718,-394.54,330.983,-5.972,-325.624,534.861,-136.146,-412.641,564.14,-221.777,-404.192
10,0,396.618,94.1479,-373.036,273.726,108.304,-369.275,468.919,74.0021,-394.526,331.128,-5.78723,-325.354,534.852,-136.163,-412.641,564.118,-221.74,-404.173
11,0,396.632,94.1124,-373.083,273.725,108.304,-369.274,468.91,73.9794,-394.551,330.954,-6.0127,-325.798,534.847,-136.138,-412.645,564.111,-221.749,-404.234
12,0,396.628,94.1223,-372.973,273.719,108.253,-369.273,468.905,73.9875,-394.547,331.066,-5.86229,-325.601,534.844,-136.154,-412.653,564.106,-221.775,-404.235
13,0,396.601,94.1196,-372.996,273.714,108.281,-369.22,468.921,73.9788,-394.552,330.955,-5.9702,-325.566,534.827,-136.158,-412.665,564.096,-221.728,-404.195
14,0,396.608,94.1153,-373.021,273.711,108.276,-369.255,468.911,74.0215,-394.57,330.894,-6.03971,-325.808,534.813,-136.154,-412.688,564.078,-221.759,-404.282
15,0,396.637,94.1218,-372.972,273.729,108.246,-369.262,468.913,73.9723,-394.528,330.895,-6.06959,-325.836,534.827,-136.134,-412.658,564.056,-221.769,-404.208
16,0,396.636,94.1185,-372.985,273.744,108.216,-369.276,468.908,73.9501,-394.595,330.929,-6.0556,-325.825,534.839,-136.196,-412.747,564.112,-221.765,-404.271
17,0,396.658,94.0877,-373.029,273.761,108.22,-369.286,468.912,73.9849,-394.548,330.917,-6.02312,-325.742,534.838,-136.167,-412.736,564.118,-221.743,-404.367
18,0,396.644,94.1048,-372.969,273.73,108.245,-369.229,468.891,73.9936,-394.576,330.887,-6.08033,-325.925,534.82,-136.178,-412.763,564.099,-221.707,-404.281
19,0,396.644,94.0788,-372.954,273.731,108.202,-369.252,468.893,73.9489,-394.522,330.869,-6.14363,-325.967,534.808,-136.18,-412.741,564.104,-221.766,-404.3
20,0,396.629,94.036,-372.982,273.743,108.196,-369.252,468.925,73.9303,-394.606,330.912,-6.11879,-325.938,534.853,-136.189,-412.748,564.113,-221.774,-404.363
21,0,396.639,94.1093,-372.975,273.755,108.201,-369.293,468.889,73.971,-394.5,330.811,-6.17192,-326.023,534.819,-136.199,-412.776,564.104,-221.768,-404.341
22,0,396.678,94.0713,-373.031,273.746,108.167,-369.292,468.915,73.9427,-394.623,330.813,-6.22015,-326.04,534.823,-136.207,-412.769,564.122,-221.799,-404.375
23,0,396.655,94.0553,-372.967,273.749,108.172,-369.26,468.906,73.9462,-394.526,330.966,-6.03138,-325.753,534.839,-136.209,-412.72,564.095,-221.789,-404.313
24,0,396.636,94.0707,-372.999,273.742,108.217,-369.252,468.908,73.9669,-394.532,330.884,-6.09724,-325.968,534.827,-136.19,-412.771,564.061,-221.741,-404.321
25,0,396.604,94.0861,-372.912,273.743,108.222,-369.219,468.912,73.9883,-394.461,330.873,-6.09699,-325.882,534.82,-136.195,-412.772,564.058,-221.773,-404.416
26,0,396.641,94.0749,-372.898,273.748,108.198,-369.229,468.878,73.9432,-394.479,330.929,-6.08677,-325.754,534.787,-136.198,-412.75,564.105,-221.734,-404.342
27,0,396.653,94.0514,-372.954,273.756,108.166,-369.248,468.902,73.9416,-394.458,330.863,-6.15105,-325.923,534.814,-136.221,-412.857,564.073,-221.808,-404.419
28,0,396.648,94.0399,-372.963,273.753,108.166,-369.229,468.892,73.9477,-394.471,330.788,-6.22908,-326.004,534.835,-136.215,-412.851,564.072,-221.777,-404.456
29,0,396.647,94.0425,-373.002,273.762,108.159,-369.297,468.887,73.9532,-394.503,331.011,-5.94015,-325.545,534.811,-136.225,-412.829,564.096,-221.779,-404.455
30,0,396.622,94.0662,-372.946,273.757,108.14,-369.297,468.908,73.9438,-394.595,330.849,-6.17827,-326.012,534.805,-136.232,-412.808,564.103,-221.75,-404.421
31,0,396.646,94.0271,-372.982,273.717,108.176,-369.275,468.9,73.9704,-394.498,330.946,-6.07366,-326.072,534.774,-136.189,-412.799,564.095,-221.77,-404.395
