Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,395.329,94.7796,-372.832,273.317,108.224,-368.946,467.497,75.7168,-393.249,328.269,-6.71624,-326.553,542.269,-93.4684,-409.909,581.128,-173.113,-398.023
2,0,395.314,94.7991,-372.797,273.283,108.269,-368.881,467.52,75.712,-393.242,328.231,-6.74048,-326.64,542.258,-93.4621,-409.913,581.11,-173.134,-398.032
3,0,395.309,94.7856,-372.811,273.293,108.25,-368.879,467.491,75.7133,-393.201,328.282,-6.69304,-326.542,542.248,-93.4571,-409.91,581.08,-173.148,-398.074
4,0,395.318,94.7861,-372.817,273.319,108.27,-368.904,467.477,75.7293,-393.219,328.314,-6.68995,-326.548,542.276,-93.4948,-409.92,581.092,-173.123,-398.028
5,0,395.338,94.7882,-372.832,273.324,108.26,-368.924,467.512,75.6929,-393.265,328.331,-6.67145,-326.517,542.276,-93.4948,-409.92,581.121,-173.128,-398.053
6,0,395.357,94.7754,-372.844,273.331,108.236,-368.95,467.482,75.7015,-393.259,328.291,-6.72759,-326.668,542.298,-93.4899,-409.942,581.129,-173.113,-398.038
7,0,395.333,94.7892,-372.836,273.327,108.235,-368.936,467.503,75.7182,-393.245,328.277,-6.71619,-326.599,542.266,-93.4898,-409.947,581.119,-173.116,-398.017
8,0,395.321,94.7913,-372.788,273.305,108.276,-368.909,467.493,75.7479,-393.262,328.267,-6.71117,-326.553,542.249,-93.4468,-409.906,581.086,-173.132,-398.021
9,0,395.327,94.7902,-372.747,273.294,108.239,-368.905,467.494,75.7574,-393.247,328.265,-6.69687,-326.553,542.236,-93.4582,-409.903,581.065,-173.131,-398.086
10,0,395.324,94.8111,-372.731,273.31,108.251,-368.909,467.468,75.7414,-393.273,328.267,-6.7326,-326.577,542.252,-93.4608,-409.915,581.071,-173.127,-398.105
11,0,395.382,94.7615,-372.757,273.327,108.239,-368.908,467.513,75.7123,-393.294,328.284,-6.7196,-326.575,542.266,-93.4718,-409.91,581.094,-173.176,-398.11
12,0,395.375,94.748,-372.812,273.325,108.234,-368.957,467.48,75.7123,-393.368,328.295,-6.69908,-326.559,542.258,-93.4723,-409.921,581.095,-173.08,-397.945
13,0,395.368,94.7654,-372.767,273.323,108.234,-368.956,467.492,75.7041,-393.371,328.264,-6.72638,-326.559,542.266,-93.4715,-409.939,581.103,-173.133,-398.063
14,0,395.367,94.7748,-372.766,273.299,108.275,-368.899,467.469,75.7318,-393.281,328.268,-6.72258,-326.57,542.247,-93.4726,-409.899,581.073,-173.116,-398.025
15,0,395.349,94.7787,-372.712,273.288,108.245,-368.934,467.498,75.7236,-393.352,328.246,-6.6936,-326.632,542.239,-93.4618,-409.922,581.074,-173.109,-398.088
16,0,395.339,94.7802,-372.75,273.288,108.245,-368.934,467.494,75.7446,-393.411,328.248,-6.70742,-326.556,542.227,-93.4728,-409.929,581.028,-173.178,-398.095
17,0,395.356,94.7728,-372.758,273.307,108.247,-368.958,467.493,75.744,-393.374,328.296,-6.69832,-326.599,542.241,-93.4642,-409.896,581.09,-173.118,-398.021
18,0,395.402,94.7672,-372.791,273.312,108.226,-368.975,467.473,75.7091,-393.369,328.282,-6.71364,-326.6,542.292,-93.4518,-409.899,581.112,-173.116,-398.033
19,0,395.38,94.7546,-372.799,273.335,108.272,-368.949,467.496,75.7304,-393.401,328.308,-6.70881,-326.583,542.279,-93.4668,-409.91,581.131,-173.13,-397.992
20,0,395.363,94.7948,-372.754,273.313,108.287,-368.903,467.495,75.7393,-393.457,328.298,-6.68232,-326.527,542.274,-93.4546,-409.868,581.089,-173.097,-397.985
21,0,395.383,94.7935,-372.74,273.3,108.256,-368.925,467.495,75.752,-393.42,328.277,-6.70287,-326.483,542.274,-93.4179,-409.85,581.107,-173.082,-398.01
22,0,395.372,94.7664,-372.719,273.288,108.266,-368.881,467.49,75.7637,-393.337,328.284,-6.70379,-326.466,542.236,-93.4106,-409.872,581.117,-173.118,-398.01
23,0,395.388,94.7899,-372.732,273.304,108.276,-368.915,467.46,75.7645,-393.301,328.272,-6.68164,-326.483,542.261,-93.4525,-409.911,581.076,-173.126,-398.041
24,0,395.381,94.7922,-372.745,273.308,108.264,-368.944,467.499,75.7081,-393.404,328.271,-6.6917,-326.519,542.259,-93.4774,-409.923,581.103,-173.137,-398.067
25,0,395.418,94.7564,-372.77,273.318,108.24,-368.969,467.516,75.7185,-393.424,328.317,-6.67062,-326.531,542.26,-93.4384,-409.871,581.12,-173.166,-398.072
26,0,395.378,94.8061,-372.711,273.302,108.274,-368.974,467.487,75.7464,-393.379,328.288,-6.68072,-326.56,542.29,-93.4586,-409.89,581.1,-173.162,-398.057
27,0,395.352,94.802,-372.754,273.283,108.291,-368.928,467.498,75.7793,-393.375,328.311,-6.63256,-326.517,542.268,-93.4319,-409.855,581.104,-173.106,-397.997
28,0,395.361,94.7892,-372.754,273.282,108.291,-368.925,467.495,75.7607,-393.361,328.263,-6.66933,-326.488,542.242,-93.377,-409.81,581.093,-173.101,-397.999
29,0,395.359,94.7825,-372.741,273.287,108.305,-368.902,467.489,75.7568,-393.392,328.281,-6.6225,-326.466,542.222,-93.427,-409.833,581.065,-173.149,-398.057
30,0,395.378,94.8437,-372.735,273.281,108.286,-368.959,467.48,75.7693,-393.33,328.297,-6.63003,-326.424,542.266,-93.4591,-409.891,581.071,-173.12,-398.019
31,0,395.389,94.7819,-372.788,273.288,108.294,-368.974,467.463,75.7694,-393.283,328.288,-6.6573,-326.499,542.237,-93.457,-409.879,581.084,-173.145,-398.1
32,0,395.361,94.8128,-372.75,273.279,108.283,-368.928,467.477,75.7262,-393.379,328.288,-6.66598,-326.532,542.237,-93.4486,-409.86,581.098,-173.124,-398.019
33,0,395.354,94.7981,-372.782,273.285,108.287,-368.977,467.472,75.746,-393.381,328.273,-6.6413,-326.47,542.233,-93.4556,-409.845,581.071,-173.112,-397.982
34,0,395.358,94.8219,-372.717,273.257,108.339,-368.907,467.497,75.8051,-393.298,328.31,-6.57046,-326.358,542.247,-93.4222,-409.815,581.102,-173.121,-398.005
35,0,395.365,94.858,-372.706,273.261,108.344,-368.879,467.498,75.7743,-393.319,328.284,-6.6037,-326.433,542.228,-93.389,-409.78,581.096,-173.012,-397.87
36,0,395.381,94.8289,-372.711,273.264,108.327,-368.934,467.461,75.7821,-393.241,328.318,-6.56261,-326.387,542.243,-93.389,-409.817,581.116,-173.114,-397.974
