Trajectories
100
,,2-19-16:hip_center,,,2-19-16:hip_top,,,2-19-16:hip_bottom,,,2-19-16:knee,,,2-19-16:heel,,,2-19-16:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
32,0,35.7233,252.806,37.9783,-61.3435,320.099,68.2963,97,193.183,-31.382,-27.5921,131.428,13.6186,2.63917,40.9439,-68.3786,-78.2249,33.3008,-27.0195
33,0,38.7978,251.587,37.9464,-58.1192,318.211,68.9735,100.411,192.395,-32.1571,-23.3746,130.016,13.5111,9.66319,41.762,-68.2478,-70.8379,33.5118,-27.2009
34,0,42.4757,250.091,37.2732,-54.2596,315.962,69.3021,104.161,191.741,-33.4494,-18.6397,128.599,13.2741,16.743,42.8165,-68.0919,-63.6471,33.7703,-27.4678
35,0,46.1087,248.575,36.0985,-50.5184,313.407,69.2835,107.643,191.164,-35.2511,-13.8773,126.997,13.2136,23.3231,43.5123,-68.2794,-56.8998,34.0268,-27.7312
36,0,49.5245,247.262,34.6659,-46.8856,310.891,69.0419,110.869,190.579,-37.3924,-9.35054,125.185,12.9893,29.4492,44.1614,-68.6663,-50.644,34.3252,-27.98
37,0,53.0186,246.216,32.8728,-43.0173,309.105,68.5664,113.854,189.936,-39.8803,-4.87105,123.857,12.6637,35.736,45.1954,-69.0711,-44.259,34.6486,-28.3396
38,0,56.7461,245.744,31.0517,-38.5874,308.089,67.8579,116.745,189.548,-42.4069,-0.454499,123.149,12.6569,41.6665,46.5784,-69.5953,-38.2529,34.9625,-28.6162
39,0,60.7723,245.343,28.9909,-33.7366,307.473,67.1551,119.555,188.644,-44.9308,3.78476,122.161,12.8394,47.78,48.0743,-70.5321,-31.9899,35.463,-28.983
40,0,64.7672,244.66,27.028,-28.8991,306.884,66.4317,122.396,187.701,-47.3925,8.30591,120.65,13.095,54.349,49.7497,-71.1796,-25.2855,35.9534,-29.2875
41,0,68.664,244.143,25.0252,-24.0685,306.782,65.6003,125.328,186.676,-49.5487,12.9799,119.564,13.3661,61.1779,51.4764,-71.5497,-18.125,36.3714,-29.5764
42,0,72.6803,244.152,22.9738,-19.0467,307.177,64.3177,128.566,185.756,-51.3703,17.6745,118.979,13.7677,68.4127,53.296,-71.5089,-10.467,36.7581,-29.7304
43,0,76.9409,244.279,20.7946,-14.2541,307.555,62.7191,132.199,185.069,-53.4051,22.6722,118.628,13.9157,75.338,54.7956,-71.8538,-3.22608,37.0474,-30.1284
44,0,81.0203,244.597,18.758,-10.0776,308.078,60.9332,135.926,184.515,-55.2312,27.7719,118.287,13.887,81.7635,56.3279,-71.7131,3.47588,37.4928,-30.2342
45,0,84.8531,244.786,16.9588,-5.74776,308.842,59.2069,139.45,183.806,-56.6102,32.4918,118.077,13.9817,88.0066,58.0576,-71.4983,9.8787,37.8275,-30.3946
46,0,89.0506,244.816,15.0335,-1.38052,309.421,57.3983,143.175,182.794,-58.2546,36.9541,118.004,14.124,93.7138,59.7005,-71.3487,15.7207,38.3336,-30.4643
47,0,93.2813,244.344,13.142,2.80556,309.443,55.3889,146.973,181.377,-59.9524,41.4327,117.56,14.2183,99.3125,61.3122,-71.3242,21.5224,38.8421,-30.7417
48,0,97.4288,243.505,11.1613,6.75101,309.177,53.2765,150.932,179.81,-61.4974,45.8767,116.646,14.1031,105.52,62.5141,-71.3153,27.9126,39.2192,-31.0824
49,0,101.426,242.904,9.1872,10.3352,309.061,50.7829,155.047,178.567,-62.8486,50.7994,115.603,13.9263,112.043,64.441,-70.9699,34.8769,39.5305,-31.2428
50,0,105.138,242.692,7.55526,14.0039,309.665,48.4193,158.913,177.524,-63.7727,55.6064,115.096,14.3111,118.395,66.2757,-70.1663,41.5558,40.0248,-31.2651
51,0,109.066,242.334,6.35939,17.7661,310.32,46.9597,162.699,176.551,-64.3767,60.2361,114.882,14.8246,124.415,68.1268,-69.5367,48.0059,40.3869,-31.4454
52,0,112.735,242.052,6.17576,21.0033,310.388,46.5372,166.432,176.382,-64.606,64.919,114.403,15.2365,130.272,70.3513,-69.1924,54.3261,40.8333,-31.7002
53,0,116.009,242.165,6.62199,24.1362,310.513,46.648,170.253,176.92,-64.3267,69.577,114.076,16.0866,135.992,72.6503,-68.3693,60.6705,41.2459,-31.6864
54,0,119.247,242.515,6.88068,27.0874,310.763,46.7892,174.104,177.861,-63.6476,73.8684,114.644,16.8357,141.214,74.6173,-67.483,66.3917,41.6918,-31.4831
55,0,122.159,243.052,7.33204,29.9122,311.126,46.7341,177.949,178.802,-62.9957,77.8219,115.302,17.2672,146.485,76.6431,-66.7778,72.477,41.9977,-31.4198
56,0,125.413,243.512,7.51868,33.3004,311.612,46.4913,182.124,179.639,-62.7263,81.7122,115.644,17.7778,152.304,78.5515,-66.2679,79.3687,42.9013,-33.6758
57,0,129.536,243.89,7.28118,37.5227,311.834,46.2187,186.631,180.22,-62.9768,86.3845,116.412,17.7993,158.218,80.4346,-65.6065,85.9182,43.305,-33.822
58,0,134.187,244.166,6.73909,41.8191,311.544,45.8366,191.485,181.157,-63.422,91.3677,117.126,17.7554,164.412,82.4014,-65.0316,92.6945,43.7066,-33.8654
59,0,138.87,244.289,5.87785,46.2447,310.892,45.1093,196.539,182.152,-64.4262,96.6843,117.561,17.3975,170.224,84.0608,-65.069,98.9942,44.038,-33.8715
60,0,143.408,244.467,4.89999,50.5206,310.411,43.9926,201.432,182.656,-65.2469,101.624,117.886,17.1031,175.684,85.9305,-64.8326,105.095,44.4389,-34.0942
61,0,147.706,244.772,4.00332,54.6291,310.376,42.8913,206.183,183.318,-65.8887,106.302,118.429,16.7786,181.049,87.617,-65.0208,111.351,44.7146,-34.4265
62,0,151.769,245.252,3.19563,58.4109,310.475,42.0263,210.555,184.128,-66.5916,111.014,118.869,16.5082,186.166,89.0819,-65.1513,117.106,44.9801,-34.7863
63,0,155.399,245.327,2.52931,62.1552,310.726,41.1537,214.545,184.421,-66.8156,115.39,118.885,16.7399,191.317,90.7928,-64.7336,122.997,45.2325,-34.7743
64,0,159.017,245.381,2.19389,65.8329,311.037,40.6021,218.768,184.855,-66.8019,119.621,118.893,16.8309,196.55,92.9749,-63.8843,128.803,45.6848,-34.8181
65,0,162.366,245.32,2.15195,68.7753,310.884,40.0417,222.913,185.615,-66.785,123.887,119.3,17.4937,201.76,95.3004,-62.9614,135.069,46.0926,-34.7989
66,0,165.202,245.214,2.45651,71.5611,310.609,39.8274,226.76,186.381,-66.3791,127.773,119.476,17.8887,207.011,97.3441,-61.8391,141.508,46.3426,-34.8054
67,0,168.296,245.262,2.93967,74.214,310.235,39.6547,230.824,187.202,-65.6978,131.413,119.422,18.0678,211.978,99.3347,-60.5361,147.54,46.5874,-34.7886
68,0,171.638,245.69,3.43881,76.7778,310.009,39.6128,235.15,188.278,-64.769,134.831,119.793,18.1414,216.752,101.45,-59.1617,153.36,46.9572,-34.8535
69,0,175.066,246.333,3.8163,79.2626,309.896,39.4572,239.599,189.935,-63.9695,138.638,120.725,18.5417,221.616,103.194,-58.4074,159.438,47.2754,-34.8204
70,0,178.421,246.941,4.11673,81.7474,310.087,39.2062,243.886,191.357,-63.6956,142.833,121.236,19.0845,226.311,104.683,-58.0361,164.888,47.4962,-34.8344
71,0,181.781,247.3,4.1662,84.3256,310.527,38.9369,248.053,192.192,-63.5056,146.982,121.316,19.7471,231.059,106.504,-57.1328,170.579,47.8865,-34.7519
72,0,184.984,247.586,4.14549,86.829,311.107,38.4654,252.005,192.724,-63.2304,151.08,121.499,19.9903,235.973,108.311,-56.6721,176.704,48.1819,-34.7446
73,0,187.959,248.093,4.40053,89.2828,311.631,38.1378,255.777,193.496,-62.6387,154.963,121.617,20.2245,240.693,110.328,-56.0364,183.118,48.3866,-34.7744
74,0,191.009,248.773,4.82215,91.9121,312.14,37.9222,259.814,194.725,-61.8068,158.787,121.857,20.4527,245.486,112.304,-55.3151,189.705,48.6723,-34.6654
75,0,194.238,249.803,5.09158,94.6111,312.761,37.412,264.03,196.178,-60.7344,162.809,122.583,21.0143,250.048,114.031,-54.5544,195.863,48.9099,-34.5693
76,0,197.135,250.946,5.25389,96.9564,313.779,36.72,267.874,197.883,-59.7323,165.936,123.634,19.665,254.648,115.686,-53.8215,203.352,49.0422,-30.6096
77,0,199.795,252.144,5.65978,99.1151,314.986,35.9544,271.625,199.253,-58.9641,169.494,124.316,19.987,259.165,116.975,-53.1179,209.137,49.2256,-30.4417
78,0,202.989,253.025,5.65016,101.972,316.001,35,275.781,199.804,-58.151,172.957,124.646,20.0238,264.025,117.82,-52.5694,214.729,49.4209,-30.3519
79,0,207.165,253.422,5.30314,106.045,316.632,33.8952,280.79,200.091,-57.9105,177.182,124.861,19.6731,269.63,118.521,-52.5431,220.998,49.6494,-30.3487
80,0,212.257,253.602,4.49086,110.934,317.039,32.6302,286.265,200.555,-58.1672,182.624,124.946,19.1577,275.557,119.373,-52.6264,227.763,49.8834,-30.5847
81,0,217.696,253.902,3.81159,116.261,317.398,31.5619,292.023,201.106,-58.5162,188.494,125.209,18.7647,281.613,120.378,-52.6961,234.855,50.0811,-30.6009
82,0,223.156,254.432,3.26659,121.734,317.986,30.6014,297.82,201.774,-58.6948,194.501,125.663,18.5724,287.791,121.141,-52.718,241.95,50.3056,-30.671
83,0,228.663,255.153,2.81878,127.154,318.83,29.8382,303.494,202.447,-58.6048,200.198,126.178,18.3413,293.867,121.759,-52.6602,248.619,50.4863,-30.7485
84,0,234.41,256.091,2.50702,132.706,319.698,29.3248,309.424,203.122,-58.5429,205.745,126.887,18.192,300.072,122.47,-52.4513,255.56,50.6184,-30.9946
85,0,240.294,256.863,2.29288,138.294,320.248,28.9092,315.292,203.804,-58.403,211.586,127.563,18.0066,305.965,122.979,-52.3581,262.213,50.703,-31.0546
86,0,245.93,257.335,2.45355,143.766,320.661,28.9351,320.763,204.348,-58.1005,217.249,127.935,17.9429,311.56,123.445,-51.9158,268.379,50.7859,-31.0805
87,0,251.351,257.634,2.87819,149.155,321.142,28.9721,326.236,204.658,-57.2487,222.437,128.212,17.9111,316.96,124.107,-51.2192,274.995,50.8347,-31.0842
88,0,256.485,257.708,3.22671,154.239,321.264,28.8713,331.677,205.168,-56.332,227.256,128.621,18.326,322.296,124.927,-50.4284,281.863,50.8522,-31.1018
89,0,260.727,257.844,3.77938,158.537,321.163,28.8457,336.447,206.025,-55.2199,231.949,128.653,18.9139,327.46,126.017,-49.3134,288.915,50.9974,-30.8604
90,0,264.307,257.95,4.44335,162.156,321.041,28.9123,340.724,206.882,-54.1452,236.239,128.618,19.0224,332.413,127.033,-48.1978,296.026,51.1093,-30.5937
91,0,267.813,258.233,5.14525,165.455,321.012,28.9834,344.941,207.587,-53.0288,240.079,128.709,19.206,336.979,127.938,-47.1499,302.459,51.109,-30.4233
92,0,271.505,258.885,5.83802,168.779,321.334,28.9106,349.206,208.339,-51.8731,243.613,129.312,19.1089,341.305,128.936,-46.4187,308.785,51.1864,-30.1437
93,0,275.242,259.981,6.24678,172.119,322.213,28.7056,353.443,209.603,-50.9365,247.367,130.531,19.3634,345.736,129.826,-45.9216,314.676,51.3463,-30.0185
94,0,278.751,261.238,6.35151,175.402,323.292,28.2212,357.303,210.784,-50.1446,251.376,131.669,19.7819,350.161,130.65,-45.4472,320.381,51.5377,-29.9576
