Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,396.086,94.3253,-373.05,273.648,107.913,-368.831,468.326,75.0451,-393.886,329.885,-6.97606,-327.148,540.907,-117.942,-411.013,575.164,-201.021,-401.152
2,0,396.11,94.3599,-373.007,273.648,107.913,-368.831,468.327,75.0597,-393.882,329.885,-6.9732,-327.091,540.913,-117.946,-411,575.183,-200.997,-401.014
3,0,396.101,94.3229,-373.009,273.662,107.884,-368.849,468.338,75.0431,-393.848,329.854,-7.00165,-327.138,540.903,-117.962,-411.006,575.176,-201.044,-401.174
4,0,396.112,94.3271,-372.99,273.65,107.869,-368.836,468.326,75.0101,-393.922,329.812,-7.04875,-327.171,540.902,-117.981,-411.022,575.137,-201.113,-401.277
5,0,396.112,94.3142,-373.027,273.639,107.862,-368.855,468.322,75.0298,-393.9,329.842,-7.00441,-327.099,540.91,-118.007,-411.033,575.156,-201.097,-401.225
6,0,396.102,94.3301,-372.995,273.64,107.858,-368.863,468.326,75.0501,-393.887,329.869,-7.02158,-327.247,540.9,-117.999,-411.028,575.18,-201.11,-401.262
7,0,396.123,94.3559,-372.994,273.638,107.863,-368.879,468.321,75.0638,-393.878,329.829,-7.01281,-327.16,540.922,-117.964,-411.034,575.158,-201.074,-401.232
8,0,396.118,94.3284,-372.988,273.658,107.882,-368.834,468.312,75.0692,-393.878,329.825,-7.01755,-327.22,540.901,-117.953,-411.001,575.166,-201.061,-401.164
9,0,396.122,94.3233,-372.998,273.64,107.88,-368.867,468.292,75.075,-393.89,329.865,-7.00783,-327.205,540.916,-117.958,-411.017,575.135,-201.064,-401.176
10,0,396.113,94.3386,-372.933,273.647,107.887,-368.833,468.274,75.0801,-393.866,329.817,-7.0268,-327.227,540.895,-117.961,-411.025,575.162,-201.011,-401.098
11,0,396.121,94.3292,-372.953,273.626,107.849,-368.889,468.28,75.0421,-393.932,329.812,-7.06366,-327.265,540.896,-117.981,-411.015,575.105,-201.054,-401.147
12,0,396.131,94.3401,-372.934,273.647,107.856,-368.881,468.284,75.0559,-393.902,329.842,-7.03527,-327.241,540.89,-117.95,-411.015,575.141,-201.109,-401.319
13,0,396.153,94.3509,-372.932,273.632,107.9,-368.889,468.279,75.0978,-393.882,329.816,-7.0098,-327.217,540.894,-117.967,-411.036,575.166,-201.019,-401.147
14,0,396.136,94.3692,-372.905,273.621,107.905,-368.886,468.266,75.111,-393.838,329.82,-7.0081,-327.305,540.889,-117.936,-410.996,575.181,-201.01,-401.06
