

Trajectories
100
,,two_spineMJ:spine_top,,,two_spineMJ:spine_bottom,,,two_spineMJ:hip_top,,,two_spineMJ:hip_bottom,,,two_spineMJ:hip_middle,,,two_spineMJ:knee,,,two_spineMJ:heel,,,two_spineMJ:foot_mid,,,two_spineMJ:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
24,0,567.403,133.864,61.5342,671.559,91.5893,40.0339,491.112,103.804,121.464,667.166,45.8533,87.8197,610.939,61.962,115.13,516.213,-63.0964,144.523,701.059,-152.252,85.5646,706.844,-226.804,102.324,718.542,-305.901,102.056
25,0,567.391,133.867,61.5786,671.544,91.5681,39.9971,491.113,103.801,121.46,667.166,45.853,87.813,610.939,61.9646,115.179,516.209,-63.0981,144.549,701.04,-152.239,85.5917,706.822,-226.801,102.356,718.543,-305.903,102.053
26,0,567.405,133.866,61.537,671.544,91.5696,39.9989,491.112,103.842,121.459,667.166,45.8532,87.8164,610.94,61.9638,115.13,516.189,-63.0605,144.557,701.04,-152.242,85.5906,706.796,-226.856,102.303,718.482,-305.918,102.062
27,0,567.399,133.903,61.5602,671.559,91.5907,40.034,491.112,103.843,121.461,667.149,45.8561,87.8382,610.94,61.9637,115.13,516.19,-63.0609,144.556,701.016,-152.273,85.5369,706.796,-226.849,102.348,718.482,-305.918,102.062
28,0,567.421,133.892,61.5099,671.559,91.5902,40.0338,491.136,103.894,121.465,667.186,45.8459,87.8093,610.957,61.9569,115.131,516.181,-63.0505,144.546,700.983,-152.255,85.569,706.766,-226.828,102.394,718.416,-305.895,102.136
29,0,567.45,133.921,61.5665,671.589,91.593,39.983,491.156,103.947,121.418,667.189,45.844,87.7614,610.978,62.0018,115.138,516.184,-62.9912,144.539,700.969,-152.274,85.5752,706.734,-226.827,102.44,718.343,-305.908,102.126
30,0,567.434,133.953,61.567,671.573,91.6053,39.9975,491.16,104.016,121.456,667.167,45.8524,87.7759,610.979,62.0008,115.09,516.185,-62.9742,144.548,700.936,-152.255,85.6279,706.698,-226.85,102.347,718.285,-305.913,102.131
31,0,567.445,133.96,61.5885,671.574,91.6041,40.0279,491.139,103.991,121.379,667.167,45.8521,87.7779,610.978,62.0321,115.11,516.158,-62.9701,144.542,700.922,-152.283,85.5892,706.674,-226.845,102.424,718.253,-305.93,102.119
32,0,567.467,133.98,61.5156,671.573,91.6076,39.9983,491.166,104.027,121.368,667.184,45.8694,87.822,610.982,62.0511,115.123,516.153,-62.9472,144.559,700.921,-152.287,85.5878,706.638,-226.867,102.404,718.194,-305.946,102.103
33,0,567.473,133.992,61.4906,671.609,91.6281,39.9616,491.178,104.095,121.336,667.205,45.9153,87.7835,611.019,62.0714,115.068,516.174,-62.8729,144.604,700.879,-152.3,85.5301,706.641,-226.834,102.363,718.146,-305.904,102.142
34,0,567.49,134.011,61.5089,671.641,91.6388,39.9698,491.223,104.149,121.39,667.225,45.9082,87.7761,611.037,62.0568,115.095,516.18,-62.8737,144.573,700.9,-152.305,85.5468,706.624,-226.87,102.458,718.165,-305.918,102.126
35,0,567.517,134.004,61.5477,671.636,91.6133,39.9863,491.225,104.128,121.378,667.222,45.8587,87.7872,611.039,62.0562,115.094,516.179,-62.8952,144.588,700.895,-152.323,85.6007,706.619,-226.907,102.419,718.116,-305.967,102.157
36,0,567.516,134.011,61.518,671.647,91.6076,39.9907,491.239,104.178,121.369,667.222,45.8587,87.7872,611.037,62.0569,115.095,516.199,-62.874,144.592,700.85,-152.326,85.5947,706.571,-226.91,102.422,718.069,-305.928,102.179
37,0,567.503,134.065,61.526,671.653,91.6197,39.9684,491.239,104.226,121.398,667.203,45.9165,87.8342,611.04,62.1074,115.127,516.18,-62.8564,144.584,700.872,-152.334,85.5423,706.563,-226.887,102.404,718.063,-305.929,102.161
38,0,567.503,134.082,61.5317,671.649,91.6418,39.9867,491.226,104.278,121.37,667.205,45.9153,87.7835,611.043,62.1061,115.126,516.16,-62.8069,144.62,700.831,-152.314,85.6073,706.536,-226.886,102.373,718.054,-305.936,102.133
39,0,567.516,134.067,61.5218,671.635,91.6237,39.9544,491.236,104.299,121.367,667.204,45.9156,87.7814,611.005,62.0964,115.082,516.159,-62.8023,144.59,700.81,-152.346,85.5512,706.5,-226.899,102.388,717.977,-305.958,102.157
40,0,567.51,134.085,61.5218,671.649,91.6453,39.9885,491.22,104.305,121.322,667.188,45.8982,87.7342,611.04,62.1368,115.147,516.149,-62.7939,144.604,700.809,-152.342,85.5536,706.465,-226.877,102.394,717.951,-305.916,102.228
41,0,567.526,134.107,61.553,671.65,91.6469,39.9904,491.295,104.355,121.319,667.224,45.9085,87.7741,611.063,62.1515,115.087,516.161,-62.7835,144.606,700.772,-152.3,85.6009,706.453,-226.894,102.389,717.948,-305.934,102.221
42,0,567.536,134.098,61.5118,671.655,91.6488,39.9601,491.3,104.371,121.301,667.204,45.9154,87.7779,611.064,62.1223,115.066,516.175,-62.7575,144.607,700.794,-152.337,85.5739,706.457,-226.89,102.403,717.935,-305.961,102.165
43,0,567.543,134.098,61.4865,671.671,91.6346,39.9499,491.296,104.393,121.316,667.226,45.8779,87.7516,611.064,62.1523,115.086,516.175,-62.7578,144.607,700.794,-152.337,85.5738,706.425,-226.922,102.376,717.887,-305.99,102.163
44,0,567.557,134.104,61.4644,671.665,91.65,39.9867,491.315,104.424,121.286,667.224,45.9086,87.7777,611.064,62.1518,115.086,516.173,-62.7425,144.619,700.749,-152.331,85.5472,706.399,-226.92,102.371,717.882,-305.963,102.179
45,0,567.538,134.142,61.5066,671.684,91.6616,39.9496,491.313,104.494,121.319,667.224,45.9083,87.7706,611.064,62.1816,115.106,516.156,-62.7086,144.642,700.742,-152.329,85.5795,706.355,-226.857,102.448,717.847,-305.941,102.219
46,0,567.556,134.136,61.4827,671.681,91.6324,39.9223,491.312,104.496,121.321,667.204,45.9157,87.785,611.063,62.182,115.106,516.157,-62.7064,144.642,700.709,-152.333,85.6007,706.354,-226.875,102.442,717.843,-305.939,102.248
47,0,567.558,134.14,61.4837,671.687,91.6462,39.9026,491.327,104.484,121.309,667.204,45.9156,87.7814,611.065,62.1517,115.086,516.158,-62.6853,144.597,700.713,-152.359,85.5842,706.366,-226.9,102.396,717.82,-305.974,102.193
